Verilen	Veren	Süre Sonu	Hedeflenen amaçlar	Kolay Ad	Durum	Sertifika Þablonu
AAA Certificate Services	AAA Certificate Services	1.01.2029	Ýstemci Kimlik Doðrulamasý, Kod Ýmzalama, Þifreleme Dosya Sistemi, Güvenli E-posta, IP güvenliði tünel sonlandýrmasý, IP güvenliði kullanýcýsý, Sunucu Kimlik Doðrulamasý, Zaman Damgalamasý	Sectigo (AAA)	    	
AddTrust External CA Root	AddTrust External CA Root	30.05.2020	Ýstemci Kimlik Doðrulamasý, Kod Ýmzalama, Þifreleme Dosya Sistemi, Güvenli E-posta, IP güvenliði tünel sonlandýrmasý, IP güvenliði kullanýcýsý, Sunucu Kimlik Doðrulamasý, Zaman Damgalamasý	Sectigo (AddTrust)	    	
Baltimore CyberTrust Root	Baltimore CyberTrust Root	13.05.2025	Ýstemci Kimlik Doðrulamasý, Kod Ýmzalama, Güvenli E-posta, OCSP Ýmzalama, Sunucu Kimlik Doðrulamasý, Zaman Damgalamasý	DigiCert Baltimore Root	    	
Blizzard Battle.net Local Cert	Blizzard Battle.net Local Cert	9.01.2031	Sunucu Kimlik Doðrulamasý	<Yok>	    	
Certification Authority of WoSign	Certification Authority of WoSign	8.08.2039	Ýstemci Kimlik Doðrulamasý, Kod Ýmzalama, Güvenli E-posta, Sunucu Kimlik Doðrulamasý, Zaman Damgalamasý	WoSign	    	
Certum CA	Certum CA	11.06.2027	Ýstemci Kimlik Doðrulamasý, Kod Ýmzalama, Güvenli E-posta, OCSP Ýmzalama, Sunucu Kimlik Doðrulamasý, Zaman Damgalamasý	Certum	    	
Certum Trusted Network CA	Certum Trusted Network CA	31.12.2029	Ýstemci Kimlik Doðrulamasý, Kod Ýmzalama, Þifreleme Dosya Sistemi, Güvenli E-posta, IP güvenliði tünel sonlandýrmasý, IP güvenliði kullanýcýsý, Sunucu Kimlik Doðrulamasý, Zaman Damgalamasý	Certum Trusted Network CA	    	
Class 3 Public Primary Certification Authority	Class 3 Public Primary Certification Authority	2.08.2028	Ýstemci Kimlik Doðrulamasý, Kod Ýmzalama, Güvenli E-posta, Sunucu Kimlik Doðrulamasý	VeriSign Class 3 Public Primary CA	    	
COMODO RSA Certification Authority	COMODO RSA Certification Authority	19.01.2038	Ýstemci Kimlik Doðrulamasý, Kod Ýmzalama, Þifreleme Dosya Sistemi, Güvenli E-posta, IP güvenliði tünel sonlandýrmasý, IP güvenliði kullanýcýsý, Sunucu Kimlik Doðrulamasý, Zaman Damgalamasý	Sectigo (formerly Comodo CA)	    	
Copyright (c) 1997 Microsoft Corp.	Copyright (c) 1997 Microsoft Corp.	31.12.1999	Zaman Damgalamasý	Microsoft Timestamp Root	    	
DigiCert Assured ID Root CA	DigiCert Assured ID Root CA	10.11.2031	Ýstemci Kimlik Doðrulamasý, Kod Ýmzalama, Güvenli E-posta, Sunucu Kimlik Doðrulamasý, Zaman Damgalamasý	DigiCert	    	
DigiCert Global Root CA	DigiCert Global Root CA	10.11.2031	Ýstemci Kimlik Doðrulamasý, Kod Ýmzalama, Güvenli E-posta, Sunucu Kimlik Doðrulamasý, Zaman Damgalamasý	DigiCert	    	
DigiCert Global Root G2	DigiCert Global Root G2	15.01.2038	Ýstemci Kimlik Doðrulamasý, Kod Ýmzalama, Güvenli E-posta, Sunucu Kimlik Doðrulamasý, Zaman Damgalamasý	DigiCert Global Root G2	    	
DigiCert High Assurance EV Root CA	DigiCert High Assurance EV Root CA	10.11.2031	Ýstemci Kimlik Doðrulamasý, Kod Ýmzalama, Güvenli E-posta, Sunucu Kimlik Doðrulamasý, Zaman Damgalamasý	DigiCert	    	
DST Root CA X3	DST Root CA X3	30.09.2021	Ýstemci Kimlik Doðrulamasý, Belge Ýmzalama, Þifreleme Dosya Sistemi, Güvenli E-posta, Sunucu Kimlik Doðrulamasý, Zaman Damgalamasý	DST Root CA X3	    	
Entrust Root Certification Authority - G2	Entrust Root Certification Authority - G2	7.12.2030	Ýstemci Kimlik Doðrulamasý, Kod Ýmzalama, Þifreleme Dosya Sistemi, Güvenli E-posta, IP güvenliði tünel sonlandýrmasý, IP güvenliði kullanýcýsý, Sunucu Kimlik Doðrulamasý, Zaman Damgalamasý	Entrust.net	    	
GlobalSign	GlobalSign	18.03.2029	Ýstemci Kimlik Doðrulamasý, Kod Ýmzalama, Þifreleme Dosya Sistemi, Güvenli E-posta, IP güvenliði tünel sonlandýrmasý, IP güvenliði kullanýcýsý, Sunucu Kimlik Doðrulamasý, Zaman Damgalamasý	GlobalSign Root CA - R3	    	
